"Target URL:","https://twitter.com/Catshealdeprsn","","","","","","","","","","",""
"Search Query:","from:Catshealdeprsn include:retweets include:nativeretweets","","","","","","","","","","",""
"Cats That Heal Your Depression","@Catshealdeprsn","","","","","","","","","","",""
"Tweet range:","<unspecified> (unknown) ~ <unspecified> (unknown)","","","","","","","","","","",""
"Image : on  /  GIF : off  /  Video : on  /  No media : off  /  include RTs : off","","","","","","","","","","","",""
"Tweet date","Action date","Display name","Username","Tweet URL","Media type","Media URL","Saved filename","Remarks","Tweet content","Replies","Retweets","Likes"
"2021/04/21 14:18:43","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384934638586667012","Image","https://pbs.twimg.com/media/EzhGtOtVkAEJrgW?format=jpg&name=orig","Catshealdeprsn-1384934638586667012-20210421_141843-img1.jpg","","https://t.co/ltq6VSy2iN",14,982,5128
"2021/04/21 14:18:43","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384934638586667012","Image","https://pbs.twimg.com/media/EzhGtoPUYAAOTZK?format=jpg&name=orig","Catshealdeprsn-1384934638586667012-20210421_141843-img2.jpg","","https://t.co/ltq6VSy2iN",14,982,5128
"2021/04/21 09:30:11","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384862029165457410","Image","https://pbs.twimg.com/media/EzgErEuVEAog7ds?format=jpg&name=orig","Catshealdeprsn-1384862029165457410-20210421_093011-img1.jpg","","no talk i angy https://t.co/H6E4YPGk3H",28,1367,7330
"2021/04/21 05:40:40","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384804268448763905","Image","https://pbs.twimg.com/media/EzfQGxpUcAE46M9?format=jpg&name=orig","Catshealdeprsn-1384804268448763905-20210421_054040-img1.jpg","","https://t.co/scF5AaUEUZ",9,693,3798
"2021/04/20 22:25:00","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384694630097162241","Video","https://video.twimg.com/ext_tw_video/1384694372763983876/pu/vid/720x1280/ZkqxLhjMAGZGFvmd.mp4?tag=12","Catshealdeprsn-1384694630097162241-20210420_222500-vid1.mp4","","https://t.co/tLGylI57kH",15,903,3743
"2021/04/20 14:23:30","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384573455459180546","Video","https://video.twimg.com/ext_tw_video/1384573207089336327/pu/vid/640x800/7usBLEFD--FP8diz.mp4?tag=12","Catshealdeprsn-1384573455459180546-20210420_142330-vid1.mp4","","https://t.co/UPVqRjN5EY",46,2423,7260
"2021/04/20 13:03:11","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384553242240028673","Video","https://video.twimg.com/ext_tw_video/1384553044818333696/pu/vid/480x624/GWwnCWeQZNsC_X5c.mp4?tag=12","Catshealdeprsn-1384553242240028673-20210420_130311-vid1.mp4","","https://t.co/SvOcwkRw9C",315,17491,48189
"2021/04/20 11:51:33","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384535215721259013","Image","https://pbs.twimg.com/media/EzbbaseVIAwl2jp?format=jpg&name=orig","Catshealdeprsn-1384535215721259013-20210420_115133-img1.jpg","","https://t.co/3kG1yr4ueB",12,510,3508
"2021/04/20 10:40:15","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384517270936846336","Image","https://pbs.twimg.com/media/EzbLHUvVkAABaH8?format=jpg&name=orig","Catshealdeprsn-1384517270936846336-20210420_104015-img1.jpg","","https://t.co/gedHtt4YbC",22,1507,6954
"2021/04/20 10:40:15","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384517270936846336","Image","https://pbs.twimg.com/media/EzbLHpMUUAE-CvK?format=jpg&name=orig","Catshealdeprsn-1384517270936846336-20210420_104015-img2.jpg","","https://t.co/gedHtt4YbC",22,1507,6954
"2021/04/20 09:37:26","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384501463045443590","Video","https://video.twimg.com/ext_tw_video/1384501355927064579/pu/vid/576x1024/3_-VIbnSJOexTYOU.mp4?tag=12","Catshealdeprsn-1384501463045443590-20210420_093726-vid1.mp4","","https://t.co/alu2VBIJHd",10,403,2213
